PubMed ID,Original Details,Summarized Details
39318959,"1. Cureus. 2024 Aug 25;16(8):e67723. doi: 10.7759/cureus.67723. eCollection 2024 
Aug.

The Management and Outcomes of Septic Shock Among Surgical Patients at the Jimma 
University Medical Center, Jimma, Ethiopia: A Prospective Study.

James Oriho L(1), Tena Shale W(1), Tesfaye Woldemariam S(2).

Author information:
(1)Department of Surgery, College of Public Health and Medical Sciences, Jimma 
University, Jimma, ETH.
(2)Department of surgery, College of Public Health and Medical Sciences, Jimma 
University, Jimma, ETH.

Background and objective Sepsis and septic shock are major healthcare issues in 
surgical patients admitted to the surgery ward or ICU, affecting millions of 
people worldwide annually, with a mortality rate between one in three and one in 
six of those affected. The incidence and mortality of sepsis vary greatly by 
region, with the highest prevalence in Sub-Saharan Africa, Oceania, South Asia, 
East Asia, and Southeast Asia. Of all sepsis cases in 2017, 33.1 million people 
suffered from ill health due to underlying infectious diseases, and 15.8 million 
suffered from underlying injuries or non-communicable diseases.  Methods This 
prospective observational study was conducted at the Jimma University Medical 
Centre (JUMC) in Jimma town in southwest Ethiopia, from April 2023 to October 
2023. All surgical patients aged ≥15 years who presented with or developed 
septic shock at the Jimma University Medical Centre were included. Results The 
study involved a total of 61 patients. The median age of the patients was 45 
years [interquartile range (IQR): 40-60 years], and 77% (n=47) of the patients 
were male. The most frequent source of infection in this study was 
community-acquired infection (83.3%, n=49). The most common focus of sepsis was 
the intra-abdominal infection of the digestive system (82%, n=50). Lactate level 
testing and blood cultures before administering antibiotics were not done for 
all septic shock patients. Source control surgery was performed in 52.5% (n=32) 
of patients after developing septic shock, and 84.4% (n=27) of surgeries were 
performed within 24 hours. The 30-day mortality rate was 80.3%, with an ICU 
mortality rate of 78.94%. The median length of stay in the ICU was three days 
(IQR: 1-5 days), and the median length of hospital stay was six days (IQR: 2-15 
days). Conclusions The mortality rate in our cohort was higher compared to that 
in studies from high-income and low-income countries. There was poor adherence 
and compliance with the Surviving Sepsis Campaign (SSC) (the one-hour bundle) 
guidelines. The length of stay in hospitals and ICUs was lower compared to 
studies from high-income countries due to the high early mortality rates.

Copyright © 2024, James Oriho et al.

DOI: 10.7759/cureus.67723
PMCID: PMC11421308
PMID: 39318959

Conflict of interest statement: Human subjects: Consent was obtained or waived 
by all participants in this study. Jimma University Institute of Health IRB 
issued approval JUIH/IRB/538/23. Animal subjects: All authors have confirmed 
that this study did not involve animal subjects or tissue. Conflicts of 
interest: In compliance with the ICMJE uniform disclosure form, all authors 
declare the following: Payment/services info: All authors have declared that no 
financial support was received from any organization for the submitted work. 
Financial relationships: All authors have declared that they have no financial 
relationships at present or within the previous three years with any 
organizations that might have an interest in the submitted work. Other 
relationships: All authors have declared that there are no other relationships 
or activities that could appear to have influenced the submitted work.",Sepsis and septic shock are major healthcare issues in hospitals. The mortality rate in our cohort was higher compared to studies from high-income and low-income countries. There was poor adherence with the Surviving Sepsis Campaign (SSC)
39310058,"1. J Intensive Med. 2024 Jun 25;4(4):526-536. doi: 10.1016/j.jointm.2024.04.004. 
eCollection 2024 Oct.

Association between hyperglycemia at ICU admission and postoperative acute 
kidney injury in patients undergoing cardiac surgery: Analysis of the MIMIC-IV 
database.

Ruan J(1)(2), Huang W(1)(3), Jiang J(1)(2), Hu C(1)(2), Li Y(1)(2), Peng 
Z(1)(2), Cai S(1)(2).

Author information:
(1)Department of Critical Care Medicine, Zhongnan Hospital of Wuhan University, 
Wuhan, Hubei, China.
(2)Clinical Research Center of Hubei Critical Care Medicine, Wuhan, Hubei, 
China.
(3)Department of Critical Care Medicine, Sir Run Run Shaw Hospital, Zhejiang 
University School of Medicine, Hangzhou, Zhejiang, China.

BACKGROUND: This study aimed to explore the correlation between hyperglycemia at 
intensive care unit (ICU) admission and the incidence of acute kidney injury 
(AKI) in patients after cardiac surgery.
METHODS: We conducted a retrospective cohort study, in which clinical data were 
extracted from the Medical Information Mart for Intensive Care (MIMIC)-IV 
database. Adults (≥18 years) in the database who were admitted to the 
cardiovascular intensive care unit after cardiac surgery were enrolled. The 
primary outcome was the incidence of AKI within 7 days following ICU admission. 
Secondary outcomes included ICU mortality, hospital mortality, ICU length of 
stay, and the 28-day and 90-day mortality. Multivariable Cox regression analysis 
was used to assess the association between ICU-admission hyperglycemia and AKI 
incidence within 7 days of ICU admission. Different adjustment strategies were 
used to adjust for potential confounders. Patients were divided into three 
groups according to their highest blood glucose levels recorded within 24 h of 
ICU admission: no hyperglycemia (<140 mg/dL), mild hyperglycemia (140-200 
mg/dL), and severe hyperglycemia (≥200 mg/dL).
RESULTS: Of the 6905 included patients, 2201 (31.9%) were female, and the median 
(IQR) age was 68.2 (60.1-75.9) years. In all, 1836 (26.6%) patients had severe 
hyperglycemia. The incidence of AKI within 7 days of ICU admission, ICU 
mortality, and hospital mortality was significantly higher in patients with 
severe admission hyperglycemia than those with mild hyperglycemia or no 
hyperglycemia (80.3% vs. 73.6% and 61.2%, respectively; 2.8% vs. 0.9% and 1.9%, 
respectively; and 3.4% vs. 1.2% and 2.5%, respectively; all P <0.001). Severe 
hyperglycemia was a risk factor for 7-day AKI (Model 1: hazard ratio 
[HR]=1.4809, 95% confidence interval [CI]: 1.3126 to 1.6707; Model 2: HR=1.1639, 
95% CI: 1.0176 to 1.3313; Model 3: HR=1.2014, 95% CI: 1.0490 to 1.3760; all P 
<0.050). Patients with normal glucose levels (glucose levels <140 mg/dL) had a 
higher 28-day mortality rate than those with severe hyperglycemia (glucose 
levels ≥200 mg/dL) (4.0% vs. 3.8%, P <0.001).
CONCLUSIONS: In post-cardiac surgery patients, severe hyperglycemia within 24 h 
of ICU admission increases the risk of 7-day AKI, ICU mortality, and hospital 
mortality. Clinicians should be extra cautious regarding AKI among patients with 
hyperglycemia at ICU admission after cardiac surgery.

© 2024 The Authors. Published by Elsevier B.V. on behalf of Chinese Medical 
Association.

DOI: 10.1016/j.jointm.2024.04.004
PMCID: PMC11411430
PMID: 39310058",The study aimed to explore the correlation between hyperglycemia at ICU admission and the incidence of acute kidney injury (AKI) in patients after cardiac surgery. Patients with normal glucose levels (glucose levels <140 mg/dL) had a higher 28-day mortality rate than those with severe hyperglyCEmia.
39301321,"1. Front Endocrinol (Lausanne). 2024 Sep 5;15:1446714. doi: 
10.3389/fendo.2024.1446714. eCollection 2024.

Stress hyperglycemia is associated with poor prognosis in critically ill 
patients with cardiogenic shock.

Tian J(1), Zhou T(1), Liu Z(1), Dong Y(1), Xu H(1).

Author information:
(1)Department of Critical Care Medicine, The Affiliated Wuxi People's Hospital 
of Nanjing Medical University, Wuxi People's Hospital, Wuxi Medical Center, 
Nanjing Medical University, Wux, Jiangsu, China.

BACKGROUND: Stress hyperglycemia is now more common in intensive care unit (ICU) 
patients and is strongly associated with poor prognosis. Whether this 
association exists in critically ill patients with cardiogenic shock (CS) is 
unknown. This study investigated the prognostic relationship of stress 
hyperglycemia on critically ill patients with CS.
METHODS: We included 393 critically ill patients with CS from the MIMIC IV 
database in this study and categorized the patients into four groups based on 
quartiles of Stress hyperglycemia ratio (SHR). We assessed the correlation 
between SHR and mortality using restricted cubic spline analysis and Cox 
proportional hazards models. The primary outcomes observed were ICU mortality 
and hospitalization mortality.
RESULTS: The mean age of the entire study population was 68 years, of which 30% 
were male (118 cases). There was no significant difference between the four 
groups in terms of age, gender, BMI, and vital signs (P>0.05). There was an 
increasing trend in the levels of lactate (lac), white blood cell count (WBC), 
glutamic oxaloacetic transaminase (AST), glucose and Hemoglobin A1C (HbA1c) from 
group Q1 to group Q2, with the greatest change in patients in group Q4 (P<0.05) 
and the patients in group Q4 had the highest use of mechanical ventilation, the 
longest duration of mechanical ventilation, ICU stay and hospital stay. After 
adjusting for confounders, SHR was found to be strongly associated with patient 
ICU mortality, showing a U-shaped relationship.
CONCLUSION: In critically ill patients with CS, stress hyperglycemia assessed by 
SHR was significantly associated with patient ICU mortality.

Copyright © 2024 Tian, Zhou, Liu, Dong and Xu.

DOI: 10.3389/fendo.2024.1446714
PMCID: PMC11410614
PMID: 39301321 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare that the research was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest.",Stress hyperglycemia is now more common in intensive care unit (ICU) patients and is strongly associated with poor prognosis. Whether this association exists in critically ill patients with cardiogenic shock (CS) is unknown. This study investigated the prognostic relationship of stress  Glycinemia on critically ill Patients with CS.
39285256,"1. Sci Rep. 2024 Sep 16;14(1):21605. doi: 10.1038/s41598-024-72969-w.

Association between triglyceride glucose-body mass index and all-cause mortality 
in critically ill patients with acute pancreatitis.

Zhu Y(1)(2), Li Y(3), Li X(3), Huang S(3), Li Y(4)(5).

Author information:
(1)Department of General Surgery, The Second Affiliated Hospital of Hunan Normal 
University, Changsha, 410008, Hunan, People's Republic of China.
(2)Department of General Surgery, No. 921 Hospital of the PLA Joint Logistic 
Support Force, Changsha, 410008, Hunan, People's Republic of China.
(3)National Clinical Research Center for Geriatric Disorders, Xiangya Hospital, 
Central South University, Changsha, 410008, Hunan, People's Republic of China.
(4)Department of General Surgery, The Second Affiliated Hospital of Hunan Normal 
University, Changsha, 410008, Hunan, People's Republic of China. 
13423763712@163.com.
(5)Department of General Surgery, No. 921 Hospital of the PLA Joint Logistic 
Support Force, Changsha, 410008, Hunan, People's Republic of China. 
13423763712@163.com.

This study delves into the correlation between the triglyceride glucose-body 
mass index (TyG-BMI) index upon hospital admission and clinical outcomes among 
this patient population. We investigated the association between TyG-BMI at 
hospital admission and clinical outcomes in this patient group, and analyzed 
data from the Medical Information Mart for Intensive Care IV database, 
identifying acute pancreatitis (AP) patients admitted to ICUs and stratifying 
them by TyG-BMI quartiles. We assessed the relationship between TyG-BMI and 
mortality (both in-hospital and ICU) using Cox proportional hazards regression 
and restricted cubic splines. The cohort included 419 patients, average age 
56.34 ± 16.62 years, with a majority being male (61.58%). Hospital and ICU 
mortality rates were 11.93% and 7.16%, respectively. Higher TyG-BMI was 
positively correlated with increased all-cause mortality. Patients in the 
highest TyG-BMI quartile had significantly greater risks of in-hospital and ICU 
mortality. An S-shaped curve in the spline analysis indicated a threshold effect 
at a TyG-BMI of 243 for increased in-hospital mortality risk. TyG-BMI is a 
reliable predictor of both in-hospital and ICU mortality in severely ill AP 
patients, suggesting its utility in enhancing risk assessment and guiding 
clinical interventions for this vulnerable population.

© 2024. The Author(s).

DOI: 10.1038/s41598-024-72969-w
PMCID: PMC11405403
PMID: 39285256 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests.","Association between triglyceride glucose-body mass index and all-cause mortality in critically ill patients with acute pancreatitis. 1. Sci Rep. 2024 Sep 16;14(1):21605, 10.1038/s41598-024-72969-w."
39266274,"1. Acute Crit Care. 2024 Aug;39(3):390-399. doi: 10.4266/acc.2024.00640. Epub
2024  Aug 12.

The impact of age on mortality in the intensive care unit: a retrospective 
cohort study in Malaysia.

Ismail AJ(1)(2), Hassan WMNW(1), Nor MBM(3), Shukeri WFWM(1).

Author information:
(1)School of Medical Sciences, Universiti Sains Malaysia, Kubang Kerian, 
Malaysia.
(2)Sabah Anaesthesia, Critical Care and Pain Management (SACCPM) Research Group, 
University Malaysia Sabah, Kota Kinabalu, Malaysia.
(3)Kulliyyah of Medicine, International Islamic University, Kuantan, Malaysia.

BACKGROUND: Age is a significant consideration for intensive care unit (ICU) 
admission. However, the reported associations between increasing age and 
mortality vary across studies, and data in the local context of Malaysia are 
lacking. The objective of the present study was to determine the impact of 
increasing age on ICU mortality.
METHODS: A retrospective cohort study of ICU patients was conducted between 
January 2020 and November 2023 at a university hospital in Malaysia. Patients 
were classified into two categories according to age (years) and into four 
groups according to National Library of Medicine Medical Subject Headings 
(MeSH): young adult (19-24), adult (25-44), middle age (45-64), and elderly 
(≥65). The Cochran-Armitage test for trend and Cox proportional hazards 
regression analyses were performed to evaluate the impact of increasing age on 
ICU mortality.
RESULTS: A total of 1,661 patients was analyzed. The Cochran-Armitage test 
showed a significant positive association between ICU mortality rate and age 
group (Z=-4.86, P<0.01) or MeSH category (Z=-5.36, P<0.01). After adjusting for 
other confounders, the strongest predictor for ICU mortality in the Cox 
proportional hazards regression analyses was age, with the elderly age group 
having the highest adjusted hazard ratio of 4.777 (95% CI, 1.128-20.231; 
P=0.03).
CONCLUSIONS: Age had a significant impact on ICU mortality in our cohort of 
critically ill patients.

DOI: 10.4266/acc.2024.00640
PMCID: PMC11392691
PMID: 39266274

Conflict of interest statement: CONFLICT OF INTEREST No potential conflict of 
interest relevant to this article was reported.","Age is a significant consideration for intensive care unit (ICU) admission. The reported associations between increasing age and ICU mortality vary across studies. A retrospective cohort study of ICU patients was conducted at a university hospital in Malaysia. The elderly age group had the highest adjusted hazard ratio of 4.777 (95% CI, 1128-20.231)"
39266273,"1. Acute Crit Care. 2024 Aug;39(3):379-389. doi: 10.4266/acc.2024.00038. Epub
2024  Aug 12.

Incidence of hypothermia in critically ill patients receiving continuous renal 
replacement therapy in Siriraj Hospital, Thailand.

Pornsirirat T(1), Kasemvilawan N(1), Pattanacharoenwong P(1), Arpibanwana S(1), 
Kondon H(1), Naorungroj T(2).

Author information:
(1)Division of Intensive Care, Department of Nursing, Faculty of Medicine, 
Siriraj Hospital, Mahidol University, Bangkok, Thailand.
(2)Division of Intensive Care, Department of Medicine, Siriraj Hospital, Mahidol 
University, Bangkok, Thailand.

BACKGROUND: Hypothermia is a relatively common complication in patients 
receiving continuous renal replacement therapy (CRRT). However, few studies have 
reported the factors associated with hypothermia.
METHODS: A retrospective cohort study was performed in five intensive care units 
(ICUs) to evaluate the incidence of hypothermia and the predictive factors for 
developing hypothermia during CRRT, with hypothermia defined as a time-weighted 
average temperature <36 °C.
RESULTS: From January 2020 to December 2021, 300 patients were enrolled. 
Hypothermia developed in 23.7% of them within the first 24 hours after CRRT 
initiation. Compared to non-hypothermic patients, hypothermic patients were 
older and had lower body weight, more frequent acidemia, and higher ICU and 
30-day mortality rates. In the multivariate analysis, age >70 years (odds ratio 
[OR], 2.59; 95% CI, 1.38-4.98; P=0.004), higher positive fluid balance on the 
day before CRRT (OR, 1.11; 95% CI, 1.02-1.22; P=0.02), and CRRT dose (OR, 1.003; 
95% CI, 1.00-1.01; P=0.04) were significantly associated with hypothermia. 
Conversely, a higher body weight was independently associated with mitigated 
risk of hypothermia (OR, 0.89; 95% CI, 0.81-0.97; P=0.01). Moreover, a higher 
coefficient of variance of temperature was associated with greater ICU mortality 
(OR, 1.41; 95% CI, 1.13-1.78; P=0.003).
CONCLUSIONS: Hypothermia during CRRT is a relatively common occurrence, and 
factors associated with hypothermia onset in the first 24 hours include older 
age, lower body weight, higher positive fluid balance on the day before CRRT, 
and higher CRRT dose. Greater temperature variability was associated with 
increased ICU mortality.

DOI: 10.4266/acc.2024.00038
PMCID: PMC11392699
PMID: 39266273

Conflict of interest statement: CONFLICT OF INTEREST No potential conflict of 
interest relevant to this article was reported.",Hypothermia is a relatively common complication in patients receiving continuous renal replacement therapy (CRRT) Few studies have reported the factors associated with hypothermia. Hypothermia developed in 23.7% of patients within the first 24 hours after CRRT.
39261816,"1. Cardiovasc Diabetol. 2024 Sep 11;23(1):337. doi: 10.1186/s12933-024-02423-8.

Triglyceride-glucose index correlates with the occurrence and prognosis of acute 
myocardial infarction complicated by cardiogenic shock: data from two large 
cohorts.

Liu H(#)(1), Wang L(#)(1), Zhou X(1), Wang H(1), Hao X(1), Du Z(1), Li C(1), Hou 
X(2).

Author information:
(1)Centre for Cardiac Intensive Care, Beijing Institute of Heart, Lung and Blood 
Vessel Diseases, Beijing Anzhen Hospital, Capital Medical University, Beijing, 
China.
(2)Centre for Cardiac Intensive Care, Beijing Institute of Heart, Lung and Blood 
Vessel Diseases, Beijing Anzhen Hospital, Capital Medical University, Beijing, 
China. xt.hou@ccmu.edu.cn.
(#)Contributed equally

BACKGROUND: Triglyceride-glucose (TyG) index, a dependable indicator of insulin 
resistance, has been identified as a valid marker regarding multiple 
cardiovascular diseases. Nevertheless, the correlation of TyG index with acute 
myocardial infarction complicated by cardiogenic shock (AMICS) remains 
uncertain. Our study aims for elucidating this relationship by comprehensively 
analyzing two large-scale cohorts.
METHODS: Utilizing records from the eICU Collaborative Research Database and the 
Medical Information Mart for Intensive Care IV, the link between TyG and the 
incidence and prognosis of AMICS was assessed multicentrally and retrospectively 
by logistic and correlation models, as well as restricted cubic spline (RCS). 
Propensity score matching (PSM), inverse probability of treatment weighting 
(IPTW), and overlap weighting (OW) were employed to balance the potential 
confounders. Subgroup analyses were performed according to potential modifiers.
RESULTS: Overall, 5208 AMI patients, consisting of 375 developing CS were 
finally included. The TyG index exhibited an apparently higher level in AMI 
populations developing CS than in those who did not experienced CS [9.2 
(8.8-9.7) vs. 9.0 (8.5-9.5)], with a moderate discrimination ability to 
recognize AMICS from the general AMI (AUC: 0.604). Logistic analyses showed that 
the TyG index was significantly correlated with in-hospital and ICU mortality. 
RCS analysis demonstrated a linear link between elevated TyG and increased risks 
regarding in-hospital and ICU mortality in the AMICS population. An increased 
mortality risk remains evident in PSM-, OW- and IPTW-adjusted populations with 
higher TyG index who have undergone CS. Correlation analyses demonstrated an 
apparent link between TyG index and APS score. Subgroup analyses presented a 
stable link between elevated TyG and mortality particularly in older age, 
females, those who are overweight or hypertensive, as well as those without 
diabetes.
CONCLUSIONS: Elevated TyG index was related to the incidence of CS following AMI 
and higher mortality risks in the population with AMICS. Our findings pointed a 
previously undisclosed role of TyG index in regard to AMICS that still requires 
further validation.

© 2024. The Author(s).

DOI: 10.1186/s12933-024-02423-8
PMCID: PMC11391630
PMID: 39261816 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests.",Triglyceride-glucose index correlates with the occurrence and prognosis of acute                 myocardial infarction complicated by cardiogenic shock. The TyG index exhibited an apparently higher level in AMI populations developing CS than in those who did not experienced CS.
39232765,"1. Lipids Health Dis. 2024 Sep 4;23(1):283. doi: 10.1186/s12944-024-02264-0.

Heart-type fatty acid binding protein (H-FABP) as an early biomarker in 
sepsis-induced cardiomyopathy: a prospective observational study.

Chang X(1), Guo Y(1), Wang J(1), Liu J(1), Ma Y(1), Lu Q(2), Han Y(3)(4).

Author information:
(1)Nanjing Medical University, 101 Longmian Avenue, Nanjing, China.
(2)China Pharmaceutical University, 639 Longmian Avenue, Nanjing, China.
(3)Nanjing Medical University, 101 Longmian Avenue, Nanjing, China. 
yihan@hrbmu.edu.cn.
(4)Department of Critical Care Medicine, The Second Affiliated Hospital of 
Harbin Medical University, Harbin, China. yihan@hrbmu.edu.cn.

BACKGROUND: Sepsis-induced cardiomyopathy (SICM) is a common and 
life-threatening complication of sepsis, significantly contributing to elevated 
mortality. This study aimed to identify crucial indicators for the prompt and 
early assessment of SICM.
METHODS: Patients diagnosed with sepsis or SICM within 24 h of intensive care 
unit (ICU) admission were enrolled in this prospective observational study. 
Patients were assigned to the training set, validation set and external test 
set. The primary endpoint was 7-day ICU mortality, and the secondary endpoint 
was 28-day ICU mortality. Three machine learning algorithms were utilized to 
identify relevant indicators for diagnosing SICM, incorporating 64 indicators 
including serum biomarkers associated with cardiac, renal, and liver function, 
lipid metabolism, coagulation, and inflammation. Internal and external 
validations were performed on the screening results. Patients were then 
stratified based on the cut-off value of the most diagnostically effective 
biomarker identified, and their prognostic outcomes were observed and analyzed.
RESULTS: A total of 270 patients were included in the training and validation 
set, and 52 patients were included in the external test set. Age, sex, and 
comorbidities did not significantly differ between the sepsis and SICM groups 
(P > 0.05). The support vector machine (SVM) algorithm identified six indicators 
with an accuracy of 84.5%, the random forest (RF) algorithm identified six 
indicators with an accuracy of 81.9%, and the logistic regression (LR) algorithm 
screened out seven indicators. Following rigorous selection, a diagnostic model 
for sepsis-induced cardiomyopathy was established based on heart-type fatty acid 
binding protein (H-FABP) (OR 1.308, 95% CI 1.170-1.462, P < 0.001) and 
retinol-binding protein (RBP) (OR 1.020, 95% CI 1.006-1.034, P < 0.05). H-FABP 
alone exhibited the highest diagnostic performance in both the internal (AUROC 
0.689, P < 0.05) and external sets (AUROC 0.845, P < 0.05). Patients with SICM 
were further stratified based on an H-FABP diagnostic cut-off value of 
8.335 ng/mL. Kaplan-Meier curve analysis demonstrated that elevated H-FABP 
levels at admission were associated with higher 7-day ICU mortality in patients 
with SICM (P < 0.05).
CONCLUSIONS: This study revealed that H-FABP concentrations measured within 24 h 
of patient admission could serve as a crucial biomarker for the early and rapid 
diagnosis and short-term prognostic evaluation of SICM.

© 2024. The Author(s).

DOI: 10.1186/s12944-024-02264-0
PMCID: PMC11373395
PMID: 39232765 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests.",Heart-type fatty acid binding protein (H-FABP) as an early biomarker in sepsis-induced cardiomyopathy: a prospective observational study. The study aimed to identify crucial indicators for the prompt and early assessment of SICM. The authors declare no competing interests.
39224081,"1. Turk J Pharm Sci. 2024 Sep 2;21(4):297-302. doi: 
10.4274/tjps.galenos.2023.92645.

A High-Dose Corticosteroid Treatment Increases Coronavirus Disease of 2019 
Mortality in Intensive Care Units.

Demir İ(1), Yılmaz İ(2), Yılmaz H(2), Özkarataş H(3), Çalık Ş(4).

Author information:
(1)University of Health Sciences Türkiye, Bozyaka Training and Research 
Hospital, Clinic of Internal Medicine, İzmir, Türkiye.
(2)İzmir Kâtip Çelebi University Faculty of Medicine, Department of Pharmacology 
and Toxicology, İzmir, Türkiye.
(3)University of Health Sciences Türkiye, Bozyaka Training and Research 
Hospital, Department of Anesthesiology, İzmir, Türkiye.
(4)University of Health Sciences Türkiye, Bozyaka Training and Research 
Hospital, Clinic of Infectious Diseases and Clinical Microbiology, İzmir, 
Türkiye.

OBJECTIVES: The study is aimed to investigate the association between different 
corticosteroid treatment regimens and clinical status, complications, mechanical 
ventilation requirement, and intensive care unit (ICU) mortality in individuals 
diagnosed with Coronavirus Disease of 2019 (COVID-19).
MATERIALS AND METHODS: This is a descriptive retrospective study. Patients 
admitted to the ICU for COVID-19 and treated with low- or medium-dose 
corticosteroid therapy (methylprednisolone at a dose of 0.5-1 mg/kg for 7-10 
days) were compared with patients treated with high-dose pulse corticosteroid 
therapy (methylprednisolone at varying doses of 250 mg, 500 mg or 1000 mg for 
3-7 days) in addition to standard therapy because of increased pulmonary 
infiltrate and elevated inflammatory markers during clinical monitoring. All 
demographic and clinical data, including age, sex, clinical course, laboratory 
findings, discharge status, 28-day mortality, intubation status, acute 
physiological assessment and chronic health evaluation II score, Charlson 
Comorbidity Index, and sequential organ failure assessment score, were recorded.
RESULTS: Corticosteroid treatment was administered to 689 (88.3%) of 780 
COVID-19 ICU patients between April 2020 and October 2021. The overall mortality 
rate was 45.1% (n= 352). When the mortality rates of patients were compared 
according to the corticosteroid dose, the mortality rate in the 
low-to-medium-dose group (40%) was significantly lower than that in the 
high-dose group (76%). In addition, significant deterioration in laboratory and 
clinical parameters was observed in the high-dose corticosteroid group.
CONCLUSION: High mortality, adverse effects, and complications were 
significantly increased when high-dose corticosteroids were administered. 
Corticosteroid therapy should be used cautiously according to the patient's 
clinical condition, disease stage, comorbidities, and systemic or organ 
reserves.

Copyright© 2024 The Author. Published by Galenos Publishing House on behalf of 
Turkish Pharmacists’ Association.

DOI: 10.4274/tjps.galenos.2023.92645
PMID: 39224081

Conflict of interest statement: Conflict of Interest: No conflict of interest 
was declared by the authors.",A high-Dose Corticosteroid Treatment Increases Coronavirus Disease of 2019                 Mortality in Intensive Care Units. Turk J Pharm Sci. 2024 Sep 2;21(4):297-302.
39192302,"1. Crit Care. 2024 Aug 27;28(1):278. doi: 10.1186/s13054-024-05074-z.

Role of age as eligibility criterion for ECMO in patients with ARDS: 
meta-regression analysis.

Tonetti T(1)(2), Di Staso R(3), Bambini L(3), Bordini M(3), D'Albo R(3), Nocera 
D(3), Zernini IS(3), Turriziani I(4), Mascia L(5), Rucci P(6), Ranieri VM(7).

Author information:
(1)Department of Medical and Surgical Sciences (DIMEC), Alma Mater Studiorum - 
University of Bologna, Via Massarenti, 9, 40138, Bologna, Italy. 
tommaso.tonetti@unibo.it.
(2)Anesthesiology and General Intensive Care Unit, IRCCS Azienda 
Ospedaliero-Universitaria di Bologna, Bologna, Italy. tommaso.tonetti@unibo.it.
(3)Department of Medical and Surgical Sciences (DIMEC), Alma Mater Studiorum - 
University of Bologna, Via Massarenti, 9, 40138, Bologna, Italy.
(4)Cardio-Thoracic and Vascular Anesthesia and Intensive Care Unit, IRCCS 
Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy.
(5)Dipartimento di Medicina Sperimentale, Campus Ecotekne University of Salento, 
Lecce, Italy.
(6)Department of Biomedical and Neuromotor Sciences (DIBINEM), Alma Mater 
Studiorum - University of Bologna, Bologna, Italy.
(7)Department of Anesthesia and Intensive Care Medicine, Università degli studi 
di Bari ""Aldo Moro"", Ospedale Policlinico, Bari, Italy.

BACKGROUND: Age as an eligibility criterion for V-V ECMO is widely debated and 
varies among healthcare institutions. We examined how age relates to mortality 
in patients undergoing V-V ECMO for ARDS.
METHODS: Systematic review and meta-regression of clinical studies published 
between 2015 and June 2024. Studies involving at least 6 ARDS patients treated 
with V-V ECMO, with specific data on ICU and/or hospital mortality and patient 
age were included. The search strategy was executed in PubMed, limited to 
English-language. COVID-19 and non-COVID-19 populations were analyzed 
separately. Meta-regressions of mortality outcomes on age were performed using 
gender, BMI, SAPS II, APACHE II, Charlson comorbidity index or SOFA as 
covariates.
RESULTS: In non-COVID ARDS, the meta-regression of 173 studies with 56,257 
participants showed a significant positive association between mean age and 
ICU/hospital mortality. In COVID-19 ARDS, a significant relationship between 
mean age and ICU mortality, but not hospital mortality, was found in 103 studies 
with 21,255 participants. Sensitivity analyses confirmed these findings, 
highlighting a linear relationship between age and mortality in both groups. For 
each additional year of mean age, ICU mortality increased by 1.2% in non-COVID 
ARDS and 1.9% in COVID ARDS.
CONCLUSIONS: The relationship between age and ICU mortality is linear and shows 
no inflection point. Consequently, no age cut-off can be recommended for 
determining patient eligibility for V-V ECMO.

© 2024. The Author(s).

DOI: 10.1186/s13054-024-05074-z
PMCID: PMC11348734
PMID: 39192302 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests.","Role of age as eligibility criterion for ECMO in patients with ARDS: meta-regression analysis. For each additional year of mean age, ICU mortality increased by 1.2% in non-COVID ARDS and 1.9% in COVID ArDS."
